subqueryStockItemID;subqueryNewStockGroupName;StockItemName
31;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - Oct 31 = Dec 25 (Black)
32;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - that's a hardware problem (White)
33;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - that's a hardware problem (Black)
34;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - fun was unexpected at this time (White)
35;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - fun was unexpected at this time (Black)
36;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - when your hammer is C++ (White)
37;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - when your hammer is C++ (Black)
38;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - inheritance is the OO way to become wealthy (White)
39;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - inheritance is the OO way to become wealthy (Black)
40;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - (hip, hip, array) (White)
41;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - (hip, hip, array) (Black)
42;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - understanding recursion requires understanding recursion (White)
43;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - understanding recursion requires understanding recursion (Black)
44;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - there are 10 types of people in the world (White)
45;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - there are 10 types of people in the world (Black)
46;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - a foo walks into a bar (White)
47;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - a foo walks into a bar (Black)
48;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - this code was generated by a tool (White)
49;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - this code was generated by a tool (Black)
50;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - old C developers never die (White)
51;"Novelty Items; Mugs; Computing Novelties";Developer joke mug - old C developers never die (Black)
52;"Computing Novelties; Mugs; Novelty Items";IT joke mug - keyboard not found … press F1 to continue (White)
53;"Novelty Items; Mugs; Computing Novelties";IT joke mug - keyboard not found … press F1 to continue (Black)
54;"Computing Novelties; Mugs; Novelty Items";IT joke mug - that behavior is by design (White)
55;"Novelty Items; Mugs; Computing Novelties";IT joke mug - that behavior is by design (Black)
56;"Computing Novelties; Mugs; Novelty Items";IT joke mug - hardware: part of the computer that can be kicked (White)
57;"Novelty Items; Mugs; Computing Novelties";IT joke mug - hardware: part of the computer that can be kicked (Black)
58;"Novelty Items; Toys";RC toy sedan car with remote control (Black) 1/50 scale
59;"Toys; Novelty Items";RC toy sedan car with remote control (Red) 1/50 scale
60;"Novelty Items; Toys";RC toy sedan car with remote control (Blue) 1/50 scale
61;"Toys; Novelty Items";RC toy sedan car with remote control (Green) 1/50 scale
62;"Novelty Items; Toys";RC toy sedan car with remote control (Yellow) 1/50 scale
63;"Toys; Novelty Items";RC toy sedan car with remote control (Pink) 1/50 scale
64;"Novelty Items; Toys";RC vintage American toy coupe with remote control (Red) 1/50 scale
65;"Toys; Novelty Items";RC vintage American toy coupe with remote control (Black) 1/50 scale
66;"Novelty Items; Toys";RC big wheel monster truck with remote control (Black) 1/50 scale
67;"Toys; Novelty Items";Ride on toy sedan car (Black) 1/12 scale
68;"Novelty Items; Toys";Ride on toy sedan car (Red) 1/12 scale
69;"Toys; Novelty Items";Ride on toy sedan car (Blue) 1/12 scale
70;"Novelty Items; Toys";Ride on toy sedan car (Green) 1/12 scale
71;"Toys; Novelty Items";Ride on toy sedan car (Yellow) 1/12 scale
72;"Novelty Items; Toys";Ride on toy sedan car (Pink) 1/12 scale
73;"Toys; Novelty Items";Ride on vintage American toy coupe (Red) 1/12 scale
74;"Novelty Items; Toys";Ride on vintage American toy coupe (Black) 1/12 scale
75;"Toys; Novelty Items";Ride on big wheel monster truck (Black) 1/12 scale
76;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) 3XS"
77;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (White) XXS"
78;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) XS"
79;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (White) S"
80;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) M"
81;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (White) L"
82;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) XL"
83;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (White) XXL"
84;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) 3XL"
85;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (White) 4XL"
86;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) 5XL"
87;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (White) 6XL"
88;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (White) 7XL"
89;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) 3XS"
90;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (Black) XXS"
91;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) XS"
92;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (Black) S"
93;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) M"
94;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (Black) L"
95;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) XL"
96;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (Black) XXL"
97;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) 3XL"
98;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (Black) 4XL"
99;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"
100;"Clothing; Computing Novelties; T-Shirts";"""The Gu"" red shirt XML tag t-shirt (Black) 6XL"
101;"T-Shirts; Computing Novelties; Clothing";"""The Gu"" red shirt XML tag t-shirt (Black) 7XL"
102;Clothing;Alien officer hoodie (Black) XL
103;Clothing;Alien officer hoodie (Black) XXL
104;Clothing;Alien officer hoodie (Black) 3XL
105;Clothing;Alien officer hoodie (Black) 4XL
106;Clothing;Alien officer hoodie (Black) 5XL
107;Clothing;Superhero action jacket (Blue) 3XS
108;Clothing;Superhero action jacket (Blue) XXS
109;Clothing;Superhero action jacket (Blue) XS
110;Clothing;Superhero action jacket (Blue) S
111;Clothing;Superhero action jacket (Blue) M
112;Clothing;Superhero action jacket (Blue) L
113;Clothing;Superhero action jacket (Blue) XL
114;Clothing;Superhero action jacket (Blue) XXL
115;Clothing;Superhero action jacket (Blue) 3XL
116;Clothing;Superhero action jacket (Blue) 4XL
117;Clothing;Superhero action jacket (Blue) 5XL
118;"Clothing; Furry Footwear";Dinosaur battery-powered slippers (Green) S
119;"Furry Footwear; Clothing";Dinosaur battery-powered slippers (Green) M
120;"Clothing; Furry Footwear";Dinosaur battery-powered slippers (Green) L
121;"Furry Footwear; Clothing";Dinosaur battery-powered slippers (Green) XL
122;"Clothing; Furry Footwear";Ogre battery-powered slippers (Green) S
123;"Furry Footwear; Clothing";Ogre battery-powered slippers (Green) M
124;"Clothing; Furry Footwear";Ogre battery-powered slippers (Green) L
125;"Furry Footwear; Clothing";Ogre battery-powered slippers (Green) XL
126;"Clothing; Furry Footwear";Plush shark slippers (Gray) S
127;"Furry Footwear; Clothing";Plush shark slippers (Gray) M
128;"Clothing; Furry Footwear";Plush shark slippers (Gray) L
129;"Furry Footwear; Clothing";Plush shark slippers (Gray) XL
130;"Clothing; Furry Footwear";Furry gorilla with big eyes slippers (Black) S
131;"Furry Footwear; Clothing";Furry gorilla with big eyes slippers (Black) M
132;"Clothing; Furry Footwear";Furry gorilla with big eyes slippers (Black) L
133;"Furry Footwear; Clothing";Furry gorilla with big eyes slippers (Black) XL
134;"Clothing; Furry Footwear";Animal with big feet slippers (Brown) S
135;"Furry Footwear; Clothing";Animal with big feet slippers (Brown) M
136;"Clothing; Furry Footwear";Animal with big feet slippers (Brown) L
137;"Furry Footwear; Clothing";Animal with big feet slippers (Brown) XL
138;"Clothing; Furry Footwear";Furry animal socks (Pink) S
139;"Furry Footwear; Clothing";Furry animal socks (Pink) M
140;"Clothing; Furry Footwear";Furry animal socks (Pink) L
141;"Furry Footwear; Clothing";Furry animal socks (Pink) XL
142;"Clothing; Novelty Items";Halloween zombie mask (Light Brown) S
143;"Novelty Items; Clothing";Halloween zombie mask (Light Brown) M
144;"Clothing; Novelty Items";Halloween zombie mask (Light Brown) L
145;"Novelty Items; Clothing";Halloween zombie mask (Light Brown) XL
146;"Clothing; Novelty Items";Halloween skull mask (Gray) S
147;"Novelty Items; Clothing";Halloween skull mask (Gray) M
148;"Clothing; Novelty Items";Halloween skull mask (Gray) L
149;"Novelty Items; Clothing";Halloween skull mask (Gray) XL
150;Toys;Pack of 12 action figures (variety)
151;Toys;Pack of 12 action figures (male)
152;Toys;Pack of 12 action figures (female)
153;Packaging Materials;Small sized bubblewrap roll 10m
154;Packaging Materials;Medium sized bubblewrap roll 20m
155;Packaging Materials;Large sized bubblewrap roll 50m
156;Packaging Materials;10 mm Double sided bubble wrap 10m
157;Packaging Materials;10 mm Double sided bubble wrap 20m
158;Packaging Materials;10 mm Double sided bubble wrap 50m
159;Packaging Materials;20 mm Double sided bubble wrap 10m
160;Packaging Materials;20 mm Double sided bubble wrap 20m
161;Packaging Materials;20 mm Double sided bubble wrap 50m
162;Packaging Materials;32 mm Double sided bubble wrap 10m
163;Packaging Materials;32 mm Double sided bubble wrap 20m
164;Packaging Materials;32 mm Double sided bubble wrap 50m
165;Packaging Materials;10 mm Anti static bubble wrap (Blue) 10m
166;Packaging Materials;10 mm Anti static bubble wrap (Blue) 20m
167;Packaging Materials;10 mm Anti static bubble wrap (Blue) 50m
168;Packaging Materials;20 mm Anti static bubble wrap (Blue) 10m
169;Packaging Materials;20 mm Anti static bubble wrap (Blue) 20m
170;Packaging Materials;20 mm Anti static bubble wrap (Blue) 50m
171;Packaging Materials;32 mm Anti static bubble wrap (Blue) 10m
172;Packaging Materials;32 mm Anti static bubble wrap (Blue) 20m
173;Packaging Materials;32 mm Anti static bubble wrap (Blue) 50m
174;Packaging Materials;Bubblewrap dispenser (Black) 1.5m
175;Packaging Materials;Bubblewrap dispenser (Blue) 1.5m
176;Packaging Materials;Bubblewrap dispenser (Red) 1.5m
177;Packaging Materials;Shipping carton (Brown) 413x285x187mm
178;Packaging Materials;Shipping carton (Brown) 500x310x310mm
179;Packaging Materials;Shipping carton (Brown) 229x229x229mm
180;Packaging Materials;Shipping carton (Brown) 279x254x217mm
181;Packaging Materials;Shipping carton (Brown) 356x229x229mm
182;Packaging Materials;Shipping carton (Brown) 457x279x279mm
183;Packaging Materials;Shipping carton (Brown) 480x270x320mm
184;Packaging Materials;Shipping carton (Brown) 305x305x305mm
185;Packaging Materials;Shipping carton (Brown) 356x356x279mm
186;Packaging Materials;Shipping carton (Brown) 457x457x457mm
187;Packaging Materials;Express post box 5kg (White) 350x280x130mm
188;Packaging Materials;3 kg Courier post bag (White) 300x190x95mm
189;Packaging Materials;Clear packaging tape 48mmx75m
190;Packaging Materials;Clear packaging tape 48mmx100m
191;Packaging Materials;Black and orange fragile despatch tape 48mmx75m
192;Packaging Materials;Black and orange fragile despatch tape 48mmx100m
193;Packaging Materials;Black and orange glass with care despatch tape 48mmx75m
194;Packaging Materials;Black and orange glass with care despatch tape  48mmx100m
195;Packaging Materials;Black and orange handle with care despatch tape  48mmx75m
196;Packaging Materials;Black and orange handle with care despatch tape  48mmx100m
197;Packaging Materials;Black and orange this way up despatch tape 48mmx75m
198;Packaging Materials;Black and orange this way up despatch tape  48mmx100m
199;Packaging Materials;Black and yellow heavy despatch tape  48mmx75m
200;Packaging Materials;Black and yellow heavy despatch tape 48mmx100m
201;Packaging Materials;Red and white urgent despatch tape 48mmx75m
202;Packaging Materials;Red and white urgent  heavy despatch tape  48mmx100m
203;Packaging Materials;Tape dispenser (Black)
204;Packaging Materials;Tape dispenser (Red)
205;Packaging Materials;Tape dispenser (Blue)
206;Packaging Materials;Permanent marker black 5mm nib (Black) 5mm
207;Packaging Materials;Permanent marker blue 5mm nib (Blue) 5mm
208;Packaging Materials;Permanent marker red 5mm nib (Red) 5mm
209;Packaging Materials;Packing knife with metal insert blade (Yellow) 9mm
210;Packaging Materials;Packing knife with metal insert blade (Yellow) 18mm
211;Packaging Materials;Small 9mm replacement blades 9mm
212;Packaging Materials;Large  replacement blades 18mm
213;Packaging Materials;Air cushion film 200mmx100mm 325m
214;Packaging Materials;Air cushion film 200mmx200mm 325m
215;Packaging Materials;Air cushion machine (Blue)
216;Packaging Materials;Void fill 100 L bag (White) 100L
217;Packaging Materials;Void fill 200 L bag (White) 200L
218;Packaging Materials;Void fill 300 L bag (White) 300L
219;Packaging Materials;Void fill 400 L bag (White) 400L
220;Novelty Items;Novelty chilli chocolates 250g
221;Novelty Items;Novelty chilli chocolates 500g
222;Novelty Items;Chocolate beetles 250g
223;Novelty Items;Chocolate echidnas 250g
224;Novelty Items;Chocolate frogs 250g
225;Novelty Items;Chocolate sharks 250g
226;Novelty Items;White chocolate snow balls 250g
227;Novelty Items;White chocolate moon rocks 250g
